player,dealer,hit,stay,split,double,optimal
"9,9",7,-0.003997001,0.014993569213631465,0.006707935901134237,-0.003991854026351089,stay
"7,7",7,-0.001999,0.007367048634958297,-0.0021248104309140674,-0.002,stay
"A,9",8,-0.0003107552032921569,-0.0029860164920009987,0.0,0.0,double
"10,10",8,-0.001999,0.5872681152683689,0.09495471913479492,-0.005915296870212592,stay
"5,5",8,-0.001,-0.001,0.01868455064869001,0.0010529982413137779,split
"A,8",8,-0.00016119757485244318,-0.004,0.0,0.0,double
"A,2",8,0.0008526831840012069,-0.005109340723930649,0.0,6.875718168148135e-07,hit
"7,7",8,-0.011490680061968846,-0.012973038950045973,0.02328806751949538,-0.011963271667297028,split
"3,3",8,-0.001,-9.999999999999159e-07,0.023580751577801273,0.0,split
"A,7",8,-0.001,0.011850934466596744,0.0,5.984718596856568e-06,stay
"A,3",8,0.007548858050718579,-0.0033515247943290217,0.0,0.006940213886544489,hit
"9,9",8,0.0,0.01169572277111701,0.17201837103479165,0.0,split
"2,2",8,0.005750153991045791,-0.004004993002999,0.01809147525742187,0.004975085564763011,split
"A,6",8,-0.0028852061631024616,-0.004988050674312493,0.0,-0.0019071758587216301,double
"A,5",8,0.008910009008444885,0.003997999,0.0,0.009309929459834486,double
"A,4",8,-0.00032637304417652434,-0.005482012001996002,0.0,9.313359042352947e-09,double
"6,6",8,-0.00299620227948004,-0.0029940099840259702,0.023253882140380145,-0.0019112308897695522,split
"4,4",8,-0.0018798222012603276,-0.001999,0.022801669505637077,0.0,split
"A,A",8,-0.0029940153707131534,-0.004999988012994001,0.4043605873768069,0.0,split
"8,8",8,-0.0040178301433141765,-0.003991011997981029,0.046700772144040864,-0.003998,split
"A,8",9,-0.00032736889222250115,-0.006988004,0.0,4.543656465322885e-07,double
"10,10",9,-0.001999,0.5593018966370896,0.05871606794521722,0.0006220432479350549,stay
"A,2",9,0.0006394470173586537,-0.0037785438285523744,0.0,0.0,hit
"A,7",9,-0.00011522169761399791,-0.004002929258467717,0.0,0.0,double
"A,4",9,0.0008157816261859511,-0.004974059935035989,0.0,0.0,hit
"2,2",9,-3.413606424745158e-05,-0.004,-0.001712442604416569,0.0,double
"A,9",9,-0.0015823515414295935,0.00399698203996901,0.0,0.0,stay
"A,5",9,-0.0021886452824462065,7.990003999000387e-06,0.0,-0.0018619261787102246,stay
"6,6",9,-0.013323451367326686,-0.013849411149368059,0.01471422293936645,-0.012952864812505193,split
"7,7",9,-0.016890968298688618,-0.01613476149563188,0.015303980699482704,-0.015932802198351602,split
"5,5",9,0.0005136111181609851,-0.001,-0.001568353115645434,1.9553635299336856e-13,hit
"A,A",9,0.000573341652719364,-0.004019865486843922,0.2556488802637233,0.0,split
"3,3",9,0.0029349588548729672,-0.004000999,-0.001982702666139149,0.00299578355066779,double
"A,3",9,-0.0003752878294980616,-0.004530776303147983,0.0,0.0,double
